date,open,high,low,close,volume,average,barCount
2023-04-12 09:30:00-04:00,11.46,11.47,11.41,11.42,238669.0,11.439,176
2023-04-12 09:31:00-04:00,11.43,11.44,11.42,11.42,45282.0,11.428,144
2023-04-12 09:32:00-04:00,11.43,11.47,11.43,11.46,37054.0,11.452,97
2023-04-12 09:33:00-04:00,11.46,11.46,11.45,11.45,7271.0,11.454,28
2023-04-12 09:34:00-04:00,11.46,11.51,11.45,11.51,70226.0,11.489,180
2023-04-12 09:35:00-04:00,11.51,11.51,11.48,11.49,47965.0,11.496,194
2023-04-12 09:36:00-04:00,11.48,11.52,11.46,11.5,61482.0,11.492,234
2023-04-12 09:37:00-04:00,11.51,11.53,11.5,11.52,20714.0,11.515,68
2023-04-12 09:38:00-04:00,11.52,11.55,11.5,11.51,24204.0,11.535,90
2023-04-12 09:39:00-04:00,11.5,11.52,11.49,11.52,102047.0,11.502,233
2023-04-12 09:40:00-04:00,11.52,11.54,11.5,11.53,14366.0,11.52,82
2023-04-12 09:41:00-04:00,11.53,11.54,11.51,11.52,32188.0,11.528,91
2023-04-12 09:42:00-04:00,11.52,11.54,11.51,11.53,23040.0,11.524,83
2023-04-12 09:43:00-04:00,11.53,11.54,11.52,11.52,27087.0,11.527,113
2023-04-12 09:44:00-04:00,11.52,11.53,11.51,11.52,22247.0,11.513,64
2023-04-12 09:45:00-04:00,11.52,11.55,11.51,11.55,45718.0,11.531,166
2023-04-12 09:46:00-04:00,11.55,11.56,11.5,11.51,26563.0,11.539,119
2023-04-12 09:47:00-04:00,11.5,11.52,11.5,11.5,62866.0,11.504,203
2023-04-12 09:48:00-04:00,11.51,11.52,11.49,11.51,28904.0,11.502,139
2023-04-12 09:49:00-04:00,11.51,11.52,11.48,11.48,20557.0,11.503,86
2023-04-12 09:50:00-04:00,11.48,11.48,11.43,11.43,46931.0,11.458,178
2023-04-12 09:51:00-04:00,11.44,11.44,11.4,11.42,18833.0,11.417,99
2023-04-12 09:52:00-04:00,11.42,11.49,11.41,11.49,25627.0,11.446,80
2023-04-12 09:53:00-04:00,11.49,11.51,11.48,11.48,38741.0,11.491,104
2023-04-12 09:54:00-04:00,11.48,11.5,11.47,11.5,13589.0,11.488,74
2023-04-12 09:55:00-04:00,11.5,11.52,11.49,11.51,59681.0,11.498,94
2023-04-12 09:56:00-04:00,11.51,11.52,11.49,11.5,26505.0,11.503,93
2023-04-12 09:57:00-04:00,11.5,11.5,11.48,11.49,4601.0,11.485,18
2023-04-12 09:58:00-04:00,11.48,11.51,11.48,11.51,5473.0,11.491,40
2023-04-12 09:59:00-04:00,11.51,11.51,11.5,11.5,5318.0,11.503,33
2023-04-12 10:00:00-04:00,11.5,11.51,11.47,11.49,15434.0,11.49,99
2023-04-12 10:01:00-04:00,11.48,11.5,11.47,11.49,26749.0,11.488,101
2023-04-12 10:02:00-04:00,11.5,11.52,11.5,11.51,27743.0,11.508,111
2023-04-12 10:03:00-04:00,11.51,11.53,11.5,11.53,47651.0,11.527,101
2023-04-12 10:04:00-04:00,11.53,11.54,11.51,11.51,31079.0,11.525,156
2023-04-12 10:05:00-04:00,11.5,11.5,11.47,11.48,24233.0,11.483,110
2023-04-12 10:06:00-04:00,11.48,11.49,11.47,11.49,7952.0,11.482,37
2023-04-12 10:07:00-04:00,11.49,11.51,11.48,11.49,21298.0,11.499,84
2023-04-12 10:08:00-04:00,11.48,11.49,11.47,11.48,13713.0,11.481,52
2023-04-12 10:09:00-04:00,11.48,11.49,11.48,11.49,2700.0,11.485,11
2023-04-12 10:10:00-04:00,11.48,11.5,11.48,11.49,10785.0,11.491,58
2023-04-12 10:11:00-04:00,11.5,11.5,11.48,11.48,9932.0,11.486,36
2023-04-12 10:12:00-04:00,11.48,11.49,11.47,11.48,12001.0,11.48,54
2023-04-12 10:13:00-04:00,11.49,11.49,11.45,11.46,26283.0,11.471,95
2023-04-12 10:14:00-04:00,11.46,11.46,11.45,11.46,11229.0,11.459,39
2023-04-12 10:15:00-04:00,11.46,11.47,11.44,11.46,18971.0,11.456,76
