date,open,high,low,close,volume,average,barCount
2023-03-14 09:30:00-04:00,64.74,65.58,64.74,65.1,20638.0,64.961,76
2023-03-14 09:35:00-04:00,65.11,65.25,64.82,65.08,1900.0,65.051,16
2023-03-14 09:40:00-04:00,65.33,65.58,65.08,65.22,5517.0,65.354,47
2023-03-14 09:45:00-04:00,65.44,65.48,65.11,65.21,5499.0,65.265,51
2023-03-14 09:50:00-04:00,65.14,65.35,64.97,64.97,3997.0,65.121,39
2023-03-14 09:55:00-04:00,65.15,65.41,64.84,65.17,6274.0,65.062,48
2023-03-14 10:00:00-04:00,65.17,65.38,65.0,65.27,5630.0,65.163,44
2023-03-14 10:05:00-04:00,65.4,65.6,65.28,65.42,6821.0,65.454,48
2023-03-14 10:10:00-04:00,65.33,65.51,65.25,65.5,1660.0,65.411,13
2023-03-14 10:15:00-04:00,65.66,65.73,65.46,65.59,7016.0,65.605,50
2023-03-14 10:20:00-04:00,65.56,65.83,65.51,65.82,3150.0,65.684,29
2023-03-14 10:25:00-04:00,65.78,66.1,65.72,66.1,8944.0,65.855,45
2023-03-14 10:30:00-04:00,66.1,66.46,66.09,66.42,7585.0,66.298,44
2023-03-14 10:35:00-04:00,66.35,66.47,66.17,66.21,6940.0,66.352,52
2023-03-14 10:40:00-04:00,66.13,66.38,66.13,66.33,5380.0,66.281,25
2023-03-14 10:45:00-04:00,66.37,66.43,66.28,66.33,5288.0,66.356,23
2023-03-14 10:50:00-04:00,66.31,66.32,66.16,66.21,4362.0,66.242,25
2023-03-14 10:55:00-04:00,66.22,66.22,66.0,66.04,6900.0,66.162,18
2023-03-14 11:00:00-04:00,66.07,66.29,66.05,66.16,6141.0,66.13,29
2023-03-14 11:05:00-04:00,66.14,66.21,66.06,66.17,10250.0,66.132,32
2023-03-14 11:10:00-04:00,66.16,66.26,66.11,66.26,2659.0,66.171,23
2023-03-14 11:15:00-04:00,66.29,66.45,66.29,66.33,4267.0,66.363,42
2023-03-14 11:20:00-04:00,66.37,66.45,66.27,66.43,2000.0,66.372,18
2023-03-14 11:25:00-04:00,66.41,66.48,66.38,66.4,1417.0,66.418,11
2023-03-14 11:30:00-04:00,66.45,66.58,66.45,66.5,3845.0,66.52,25
2023-03-14 11:35:00-04:00,66.49,66.54,66.43,66.54,2800.0,66.482,15
2023-03-14 11:40:00-04:00,66.51,66.54,66.44,66.52,3476.0,66.499,24
2023-03-14 11:45:00-04:00,66.52,66.64,66.48,66.64,7285.0,66.567,44
2023-03-14 11:50:00-04:00,66.65,66.81,66.62,66.81,4136.0,66.737,31
2023-03-14 11:55:00-04:00,66.78,66.78,66.59,66.59,3412.0,66.693,28
2023-03-14 12:00:00-04:00,66.6,66.64,66.55,66.6,2604.0,66.586,24
2023-03-14 12:05:00-04:00,66.61,66.69,66.6,66.69,2398.0,66.633,18
2023-03-14 12:10:00-04:00,66.74,66.87,66.71,66.87,2133.0,66.758,16
2023-03-14 12:15:00-04:00,66.81,66.81,66.76,66.76,1400.0,66.79,14
2023-03-14 12:20:00-04:00,66.68,66.71,66.6,66.6,2100.0,66.671,21
2023-03-14 12:25:00-04:00,66.54,66.67,66.54,66.59,2909.0,66.602,16
2023-03-14 12:30:00-04:00,66.6,66.76,66.59,66.67,2838.0,66.692,18
2023-03-14 12:35:00-04:00,66.74,66.78,66.62,66.68,4000.0,66.722,35
2023-03-14 12:40:00-04:00,66.63,66.63,66.45,66.55,5748.0,66.516,46
2023-03-14 12:45:00-04:00,66.52,66.55,66.41,66.48,4992.0,66.454,44
2023-03-14 12:50:00-04:00,66.46,66.51,66.27,66.4,6232.0,66.358,46
2023-03-14 12:55:00-04:00,66.35,66.46,66.33,66.43,3423.0,66.408,34
2023-03-14 13:00:00-04:00,66.45,66.48,66.28,66.29,4213.0,66.388,36
2023-03-14 13:05:00-04:00,66.27,66.27,66.18,66.18,2495.0,66.23,22
2023-03-14 13:10:00-04:00,66.16,66.16,65.93,65.93,2745.0,66.056,26
2023-03-14 13:15:00-04:00,65.86,65.86,65.68,65.85,2808.0,65.777,26
2023-03-14 13:20:00-04:00,65.8,65.85,65.64,65.79,14213.0,65.7,37
2023-03-14 13:25:00-04:00,65.82,65.93,65.8,65.82,2610.0,65.858,26
2023-03-14 13:30:00-04:00,65.8,65.81,65.69,65.7,2200.0,65.766,20
2023-03-14 13:35:00-04:00,65.67,65.89,65.67,65.89,5093.0,65.799,36
2023-03-14 13:40:00-04:00,65.94,65.97,65.63,65.65,3661.0,65.811,30
2023-03-14 13:45:00-04:00,65.65,65.74,65.63,65.71,2400.0,65.7,22
2023-03-14 13:50:00-04:00,65.7,65.76,65.66,65.7,4503.0,65.71,40
2023-03-14 13:55:00-04:00,65.69,65.77,65.63,65.63,16244.0,65.659,51
2023-03-14 14:00:00-04:00,65.7,65.7,65.5,65.53,5191.0,65.6,44
2023-03-14 14:05:00-04:00,65.46,65.5,65.27,65.42,5100.0,65.357,36
2023-03-14 14:10:00-04:00,65.48,65.6,65.48,65.54,2524.0,65.54,24
2023-03-14 14:15:00-04:00,65.5,65.5,65.38,65.45,2833.0,65.43,21
2023-03-14 14:20:00-04:00,65.44,65.65,65.4,65.65,2400.0,65.532,22
2023-03-14 14:25:00-04:00,65.65,65.83,65.62,65.78,5259.0,65.751,44
2023-03-14 14:30:00-04:00,65.75,65.83,65.71,65.8,6499.0,65.769,44
2023-03-14 14:35:00-04:00,65.77,65.77,65.64,65.7,4343.0,65.713,40
2023-03-14 14:40:00-04:00,65.72,65.72,65.61,65.62,3919.0,65.655,39
2023-03-14 14:45:00-04:00,65.64,65.8,65.63,65.68,3600.0,65.714,35
2023-03-14 14:50:00-04:00,65.67,65.73,65.59,65.59,4193.0,65.679,39
2023-03-14 14:55:00-04:00,65.57,65.58,65.41,65.46,2520.0,65.49,25
2023-03-14 15:00:00-04:00,65.49,65.57,65.41,65.48,4347.0,65.488,40
2023-03-14 15:05:00-04:00,65.46,65.47,65.15,65.2,6998.0,65.32,49
2023-03-14 15:10:00-04:00,65.15,65.16,65.0,65.01,14332.0,65.086,32
2023-03-14 15:15:00-04:00,65.04,65.13,64.96,65.1,7850.0,65.05,69
2023-03-14 15:20:00-04:00,65.15,65.16,64.98,65.03,4385.0,65.068,41
2023-03-14 15:25:00-04:00,65.06,65.14,65.03,65.08,6327.0,65.07,52
2023-03-14 15:30:00-04:00,65.08,65.17,65.05,65.16,9632.0,65.1,79
2023-03-14 15:35:00-04:00,65.18,65.35,65.18,65.28,5322.0,65.27,50
2023-03-14 15:40:00-04:00,65.28,65.37,65.19,65.33,10583.0,65.256,93
2023-03-14 15:45:00-04:00,65.33,65.41,65.24,65.36,8756.0,65.346,81
2023-03-14 15:50:00-04:00,65.4,65.64,65.38,65.64,24099.0,65.491,186
2023-03-14 15:55:00-04:00,65.63,65.89,65.58,65.81,155239.0,65.725,1063
2023-03-15 09:30:00-04:00,64.96,65.35,64.65,65.23,15543.0,64.973,27
2023-03-15 09:35:00-04:00,65.37,65.4,64.93,65.16,3115.0,65.102,22
2023-03-15 09:40:00-04:00,65.06,65.15,64.73,65.01,1700.0,64.965,15
2023-03-15 09:45:00-04:00,65.0,65.01,64.69,64.98,4530.0,64.885,31
2023-03-15 09:50:00-04:00,64.89,64.94,64.4,64.63,7094.0,64.605,61
2023-03-15 09:55:00-04:00,64.57,64.57,64.3,64.42,4034.0,64.42,27
2023-03-15 10:00:00-04:00,64.46,64.78,64.28,64.7,11445.0,64.565,109
2023-03-15 10:05:00-04:00,64.8,64.91,64.66,64.8,5791.0,64.798,41
2023-03-15 10:10:00-04:00,64.85,64.94,64.68,64.68,2404.0,64.797,20
2023-03-15 10:15:00-04:00,64.79,64.89,64.58,64.6,34338.0,64.668,270
2023-03-15 10:20:00-04:00,64.6,64.6,64.28,64.34,35317.0,64.437,181
2023-03-15 10:25:00-04:00,64.32,64.33,64.05,64.33,38200.0,64.216,308
2023-03-15 10:30:00-04:00,64.3,64.55,64.3,64.46,13043.0,64.41,121
2023-03-15 10:35:00-04:00,64.38,64.38,63.87,63.97,27204.0,64.17,225
2023-03-15 10:40:00-04:00,63.96,64.01,63.86,63.88,5245.0,63.941,32
2023-03-15 10:45:00-04:00,63.87,63.95,63.62,63.71,7100.0,63.74,57
2023-03-15 10:50:00-04:00,63.71,64.09,63.39,64.06,13148.0,63.692,83
2023-03-15 10:55:00-04:00,64.11,64.11,63.95,64.08,7019.0,64.035,50
2023-03-15 11:00:00-04:00,64.06,64.19,64.0,64.02,6638.0,64.093,56
2023-03-15 11:05:00-04:00,64.02,64.25,63.95,64.08,6921.0,64.122,50
2023-03-15 11:10:00-04:00,64.14,64.33,64.07,64.24,6247.0,64.2,45
2023-03-15 11:15:00-04:00,64.28,64.3,63.98,64.07,3225.0,64.144,29
2023-03-15 11:20:00-04:00,64.15,64.15,63.7,63.71,5229.0,63.88,34
2023-03-15 11:25:00-04:00,63.78,63.81,63.6,63.81,7035.0,63.731,47
2023-03-15 11:30:00-04:00,63.8,63.92,63.65,63.68,5828.0,63.794,46
2023-03-15 11:35:00-04:00,63.73,63.76,63.61,63.66,9021.0,63.659,45
2023-03-15 11:40:00-04:00,63.66,63.97,63.66,63.9,9168.0,63.837,57
2023-03-15 11:45:00-04:00,63.93,64.24,63.87,64.17,11782.0,64.026,56
2023-03-15 11:50:00-04:00,64.1,64.12,63.76,63.79,8861.0,63.933,51
2023-03-15 11:55:00-04:00,63.77,63.78,63.64,63.67,2715.0,63.724,25
2023-03-15 12:00:00-04:00,63.72,63.72,63.41,63.42,7497.0,63.607,44
2023-03-15 12:05:00-04:00,63.46,63.46,63.33,63.37,6496.0,63.421,34
2023-03-15 12:10:00-04:00,63.34,63.37,63.23,63.25,6808.0,63.313,52
2023-03-15 12:15:00-04:00,63.24,63.38,63.18,63.19,4612.0,63.251,42
2023-03-15 12:20:00-04:00,63.19,63.21,63.0,63.05,12556.0,63.146,90
2023-03-15 12:25:00-04:00,63.05,63.17,62.96,63.16,5140.0,63.071,44
2023-03-15 12:30:00-04:00,63.25,63.35,63.19,63.35,7957.0,63.298,50
2023-03-15 12:35:00-04:00,63.35,63.35,63.18,63.25,3964.0,63.274,34
2023-03-15 12:40:00-04:00,63.24,63.25,63.17,63.18,2500.0,63.208,22
2023-03-15 12:45:00-04:00,63.18,63.38,63.18,63.37,3600.0,63.325,30
2023-03-15 12:50:00-04:00,63.42,63.42,63.21,63.26,3301.0,63.301,23
2023-03-15 12:55:00-04:00,63.29,63.35,63.16,63.16,8459.0,63.25,65
2023-03-15 13:00:00-04:00,63.14,63.24,63.02,63.09,11101.0,63.107,72
2023-03-15 13:05:00-04:00,63.15,63.43,63.15,63.35,9472.0,63.347,52
2023-03-15 13:10:00-04:00,63.36,63.72,63.35,63.69,8767.0,63.538,63
2023-03-15 13:15:00-04:00,63.69,63.75,63.58,63.6,9212.0,63.673,76
2023-03-15 13:20:00-04:00,63.56,63.69,63.5,63.64,10362.0,63.58,63
2023-03-15 13:25:00-04:00,63.64,63.87,63.63,63.87,75218.0,63.753,89
2023-03-15 13:30:00-04:00,63.84,63.89,63.69,63.75,31803.0,63.756,202
2023-03-15 13:35:00-04:00,63.75,63.78,63.64,63.66,32219.0,63.727,125
2023-03-15 13:40:00-04:00,63.68,63.72,63.58,63.58,27740.0,63.652,124
2023-03-15 13:45:00-04:00,63.56,63.61,63.39,63.44,23592.0,63.501,104
2023-03-15 13:50:00-04:00,63.42,63.61,63.39,63.58,31162.0,63.48,115
2023-03-15 13:55:00-04:00,63.58,63.77,63.57,63.68,29862.0,63.672,100
2023-03-15 14:00:00-04:00,63.72,63.74,63.48,63.55,18843.0,63.584,91
2023-03-15 14:05:00-04:00,63.55,63.68,63.52,63.53,14088.0,63.596,91
2023-03-15 14:10:00-04:00,63.57,63.65,63.52,63.62,18750.0,63.59,96
2023-03-15 14:15:00-04:00,63.62,63.75,63.52,63.75,21441.0,63.58,132
2023-03-15 14:20:00-04:00,63.71,64.0,63.67,63.96,29290.0,63.847,145
2023-03-15 14:25:00-04:00,63.97,64.35,63.87,64.28,28118.0,64.063,167
2023-03-15 14:30:00-04:00,64.28,64.64,64.28,64.54,18962.0,64.476,142
2023-03-15 14:35:00-04:00,64.51,64.71,64.41,64.67,5214.0,64.548,51
2023-03-15 14:40:00-04:00,64.62,64.79,64.57,64.59,7387.0,64.679,66
2023-03-15 14:45:00-04:00,64.54,64.67,64.53,64.59,6817.0,64.607,66
2023-03-15 14:50:00-04:00,64.59,64.74,64.56,64.73,9199.0,64.643,88
2023-03-15 14:55:00-04:00,64.71,64.8,64.66,64.77,7099.0,64.727,69
2023-03-15 15:00:00-04:00,64.78,64.96,64.7,64.71,10165.0,64.839,91
2023-03-15 15:05:00-04:00,64.76,64.81,64.6,64.6,33413.0,64.699,233
2023-03-15 15:10:00-04:00,64.55,64.72,64.54,64.67,6184.0,64.623,57
2023-03-15 15:15:00-04:00,64.72,64.99,64.72,64.99,6993.0,64.89,65
2023-03-15 15:20:00-04:00,64.95,65.07,64.87,64.98,7372.0,64.964,69
2023-03-15 15:25:00-04:00,65.01,65.15,64.92,65.08,8926.0,65.01,80
2023-03-15 15:30:00-04:00,65.06,65.15,64.89,64.91,16826.0,65.074,123
2023-03-15 15:35:00-04:00,64.86,64.92,64.67,64.74,8822.0,64.81,70
2023-03-15 15:40:00-04:00,64.73,64.77,64.52,64.77,8258.0,64.637,76
2023-03-15 15:45:00-04:00,64.77,64.8,64.61,64.73,15773.0,64.739,137
2023-03-15 15:50:00-04:00,64.7,64.7,64.37,64.44,21063.0,64.515,192
2023-03-15 15:55:00-04:00,64.44,64.82,64.44,64.82,83694.0,64.636,569
2023-03-16 09:30:00-04:00,64.54,64.54,64.12,64.45,17073.0,64.469,30
2023-03-16 09:35:00-04:00,64.45,64.79,64.34,64.79,1655.0,64.546,15
2023-03-16 09:40:00-04:00,64.74,64.97,64.67,64.97,2618.0,64.867,19
2023-03-16 09:45:00-04:00,64.87,64.95,64.69,64.78,2100.0,64.82,18
2023-03-16 09:50:00-04:00,64.88,65.12,64.87,65.04,4565.0,64.977,30
2023-03-16 09:55:00-04:00,65.01,65.41,65.01,65.37,14588.0,65.212,77
2023-03-16 10:00:00-04:00,65.41,65.68,64.84,64.84,10803.0,65.339,81
2023-03-16 10:05:00-04:00,64.81,64.81,64.64,64.65,4387.0,64.713,42
2023-03-16 10:10:00-04:00,64.73,64.91,64.72,64.81,2000.0,64.833,17
2023-03-16 10:15:00-04:00,64.85,64.87,64.56,64.59,3542.0,64.674,23
2023-03-16 10:20:00-04:00,64.56,64.74,64.49,64.59,6334.0,64.614,39
2023-03-16 10:25:00-04:00,64.68,64.78,64.65,64.77,2784.0,64.736,17
2023-03-16 10:30:00-04:00,64.75,64.78,64.64,64.65,3876.0,64.684,24
2023-03-16 10:35:00-04:00,64.67,64.74,64.64,64.74,1821.0,64.706,18
2023-03-16 10:40:00-04:00,64.74,65.0,64.74,64.88,1562.0,64.866,15
2023-03-16 10:45:00-04:00,64.86,65.35,64.85,65.31,8701.0,65.161,51
2023-03-16 10:50:00-04:00,65.33,65.45,65.3,65.45,2150.0,65.356,18
2023-03-16 10:55:00-04:00,65.41,65.42,65.27,65.3,9282.0,65.385,25
2023-03-16 11:00:00-04:00,65.31,65.43,65.29,65.4,21852.0,65.33,41
2023-03-16 11:05:00-04:00,65.38,65.67,65.31,65.57,7031.0,65.482,59
2023-03-16 11:10:00-04:00,65.56,65.63,65.39,65.47,3324.0,65.518,30
2023-03-16 11:15:00-04:00,65.44,65.51,65.44,65.5,2927.0,65.485,24
2023-03-16 11:20:00-04:00,65.54,65.62,65.48,65.49,3612.0,65.534,32
2023-03-16 11:25:00-04:00,65.46,65.67,65.46,65.59,9820.0,65.588,51
2023-03-16 11:30:00-04:00,65.59,65.64,65.41,65.52,6455.0,65.554,49
2023-03-16 11:35:00-04:00,65.59,65.62,65.51,65.55,6720.0,65.58,42
2023-03-16 11:40:00-04:00,65.58,65.76,65.58,65.76,1902.0,65.676,19
2023-03-16 11:45:00-04:00,65.74,65.74,65.56,65.73,5271.0,65.653,47
2023-03-16 11:50:00-04:00,65.73,65.79,65.65,65.77,3867.0,65.72,27
2023-03-16 11:55:00-04:00,65.79,66.09,65.76,65.94,9655.0,65.914,31
2023-03-16 12:00:00-04:00,65.94,66.0,65.8,65.86,9010.0,65.911,67
